ЖОО/ВУЗ коды,ЖОО/ВУЗ атауы,Білім беру шифры,БББТ/ГОП шифры,Мамандық (ГОП/БББТ),Мин. балл,1 профильный предмет,2 профильный предмет,Общий конкурс (2023),Сельская квота (2023),Абай,Атырау,Ауыл жастары,Жетісу,Маңғыстау,Негізгі,Түркістан,Шымкент қ.,Ұлытау
223,Шерхан Мұртаза атындағы Халықаралық Тараз инновациялық институты - Международный Таразский инновационный институт имени Шерхана Муртазы,6B01,B009,Математика мұғалімдерін даярлау - Подготовка учителей математики,75,Математика,Физика,125,114,5,10,160,21,15,1036,5,10,5
517,Әлкей Марғұлан атындағы Павлодар педагогикалық университеті - Павлодарский педагогический университет имени Әлкей Марғұлан,6B01,B009,Математика мұғалімдерін даярлау - Подготовка учителей математики,75,Математика,Физика,125,114,5,10,160,21,15,1036,5,10,5
11,Сәрсен Аманжолов атындағы Шығыс Қазақстан университеті - Восточно-Казахстанский университет имени Сарсена Аманжолова,6B01,B009,Математика мұғалімдерін даярлау - Подготовка учителей математики,75,Математика,Физика,125,114,5,10,160,21,15,1036,5,10,5
15,Ілияс Жансүгіров атындағы Жетісу университеті - Жетысуский университет имени Ильяса Жансугурова,6B01,B009,Математика мұғалімдерін даярлау - Подготовка учителей математики,75,Математика,Физика,125,114,5,10,160,21,15,1036,5,10,5
174,М.С.Нарикбаев атындағы КАЗГЮУ университеті - Университет КАЗГЮУ имени М.С.Нарикбаева,6B04,B044,Менеджмент және басқару - Менеджмент и управление,120,Математика,География,119,107,,10,,,20,330,,,
302,«SDU University» мекемесі - Учреждение «SDU University»,6B04,B044,Менеджмент және басқару - Менеджмент и управление,100,Математика,География,119,107,,10,,,20,330,,,
421,Қазақстан-Британ техникалық университеті - Казахстанско-Британский технический университет,6B04,B044,Менеджмент және басқару - Менеджмент и управление,100,Математика,География,119,107,,10,,,20,330,,,
13,Л.Н. Гумилев атындағы Еуразия ұлттық университеті - Евразийский национальный университет имени Л.Н. Гумилева,6B04,B044,Менеджмент және басқару - Менеджмент и управление,85,Математика,География,119,107,,10,,,20,330,,,
21,«Нархоз» университеті - Университет «Нархоз»,6B04,B044,Менеджмент және басқару - Менеджмент и управление,75,Математика,География,119,107,,10,,,20,330,,,
89,"""Q"" University  мекемесі - Учреждение  ""Q"" University",6B04,B044,Менеджмент және басқару - Менеджмент и управление,70,Математика,География,119,107,,10,,,20,330,,,
522,Astana IT University - Astana IT University,6B04,B044,Менеджмент және басқару - Менеджмент и управление,70,Математика,География,119,107,,10,,,20,330,,,
82,Қазақстан-Неміс университеті - Казахстанско-Немецкий университет,6B04,B044,Менеджмент және басқару - Менеджмент и управление,70,Математика,География,119,107,,10,,,20,330,,,
27,Әл-Фараби атындағы Қазақ ұлттық университеті - Казахский национальный университет им.аль-Фараби,6B04,B044,Менеджмент және басқару - Менеджмент и управление,70,Математика,География,119,107,,10,,,20,330,,,
23,Абылай хан атындағы Қазақ халықаралық қатынастар және әлем тілдері университеті - Казахский университет международных отношений и мировых языков имени Абылай хана,6B04,B044,Менеджмент және басқару - Менеджмент и управление,65,Математика,География,119,107,,10,,,20,330,,,
24,Қазақ ұлттық аграрлық зерттеу университеті - Казахский национальный аграрный исследовательский университет,6B04,B044,Менеджмент және басқару - Менеджмент и управление,65,Математика,География,119,107,,10,,,20,330,,,
29,Қ.И.Сәтбаев атындағы Қазақ ұлттық техникалық зерттеу университеті - Казахский национальный исследовательский технический университет имени К.И.Сатпаева,6B04,B044,Менеджмент және басқару - Менеджмент и управление,65,Математика,География,119,107,,10,,,20,330,,,
7,Абай атындағы Қазақ ұлттық педагогикалық университеті - Казахский национальный педагогический университет имени Абая,6B04,B044,Менеджмент және басқару - Менеджмент и управление,65,Математика,География,119,107,,10,,,20,330,,,
185,Астана халықаралық университеті - Международный университет Астана,6B04,B044,Менеджмент және басқару - Менеджмент и управление,60,Математика,География,119,107,,10,,,20,330,,,
190,Халықаралық ақпараттық технологиялар университеті - Международный университет информационных технологий,6B04,B044,Менеджмент және басқару - Менеджмент и управление,60,Математика,География,119,107,,10,,,20,330,,,
200,Д. Қонаев атындағы Еуразиялық заң академиясы - Евразийская юридическая академия имени Д. Кунаева,6B04,B044,Менеджмент және басқару - Менеджмент и управление,60,Математика,География,119,107,,10,,,20,330,,,
37,Қожа Ахмет Ясауи атындағы Халықаралық қазақ-түрік университеті - Международный казахско-турецкий университет имени Ходжи Ахмеда Ясави,6B04,B044,Менеджмент және басқару - Менеджмент и управление,60,Математика,География,119,107,,10,,,20,330,,,
31,Е.А. Бөкетов атындағы Қарағанды университеті - Карагандинский университет имени академика Е.А. Букетова,6B04,B044,Менеджмент және басқару - Менеджмент и управление,55,Математика,География,119,107,,10,,,20,330,,,
5,Қ. Жұбанов атындағы Ақтөбе өңірлік университеті - Актюбинский региональный университет имени К.Жубанова,6B04,B044,Менеджмент және басқару - Менеджмент и управление,55,Математика,География,119,107,,10,,,20,330,,,
